segment,customers,avg_recency,avg_frequency,avg_monetary,total_revenue,revenue_share,repeat_customer_rate
At Risk,21783,413.76674470917686,1.0,263.6431198641142,5742938.08,37.23749272746617,0.0
Champions,989,137.8978766430738,2.1830131445904954,372.3497472194136,368253.9,2.3877763841589346,100.0
Hibernating,23521,414.15445771863443,1.0,63.68015730623698,1497820.98,9.711944839529986,0.0
Loyal Customers,1812,341.2511037527594,2.076158940397351,273.7876986754967,496103.31,3.2167582413141558,100.0
New / Potential,45252,161.17946168125167,1.0,161.7021457615133,7317345.5,47.446027807530754,0.0
